priceWeight,volumeThreshold,name,offeredServices,productionVolume,money,ownership,time,type
1,0.81,0,"[5, 16]",1,90,0,10,Diversifier
1,0.89,1,"[8, 19]",4,71,1,10,Diversifier
1,0.83,2,"[16, 19]",0,10,2,10,Diversifier
1,0.83,3,[14],1,74,3,10,Diversifier
1,0.71,4,[18],1,37,4,10,Monopolist
1,0.67,5,[13],3,64,5,10,Monopolist
1,0.86,6,"[5, 1]",2,40,6,10,Monopolist
1,0.8,7,[11],2,168,7,10,Monopolist
1,0.79,8,"[13, 6]",3,235,8,10,Diversifier
1,0.8,9,"[9, 19]",2,76,9,10,Diversifier
1,0.75,10,"[12, 5]",3,262,10,10,Monopolist
1,0.9,11,[17],2,80,11,10,Diversifier
1,0.84,12,"[5, 20]",3,209,12,10,Monopolist
1,0.88,13,[15],0,10,13,10,Monopolist
1,0.8,14,[7],2,194,14,10,Diversifier
1,0.82,15,"[19, 15]",1,29,15,10,Diversifier
1,0.72,16,"[7, 15]",1,102,16,10,Diversifier
1,0.79,17,"[2, 3]",3,214,17,10,Monopolist
1,0.64,18,"[9, 15]",2,104,18,10,Monopolist
1,0.71,19,[14],2,138,19,10,Diversifier
1,0.76,20,"[9, 12]",2,104,20,10,Diversifier
1,0.75,21,[1],2,40,21,10,Monopolist
1,0.74,22,"[17, 6]",3,195,22,10,Monopolist
1,0.73,23,[17],3,115,23,10,Monopolist
1,0.9,24,"[9, 18]",4,158,24,10,Diversifier
1,0.85,25,"[4, 3]",2,146,25,10,Diversifier
1,0.71,26,[12],2,178,26,10,Monopolist
1,0.73,27,"[16, 18]",1,37,27,10,Diversifier
1,0.71,28,[18],2,64,28,10,Monopolist
1,0.89,29,"[13, 14]",3,64,29,10,Diversifier
1,0.68,30,[5],1,90,30,10,Diversifier
1,0.75,31,[16],0,10,31,10,Diversifier
1,0.72,32,"[11, 12]",2,168,32,10,Monopolist
1,0.85,33,[4],0,10,33,10,Diversifier
1,0.77,34,"[15, 10]",4,362,34,10,Diversifier
1,0.84,35,"[11, 15]",2,168,35,10,Monopolist
1,0.72,36,[15],1,83,36,10,Diversifier
1,0.61,37,"[7, 2]",3,234,37,10,Diversifier
1,0.73,38,"[2, 19]",2,69,38,10,Monopolist
1,0.79,39,[7],2,194,39,10,Monopolist
