priceWeight,volumeThreshold,name,offeredServices,productionVolume,money,ownership,time,type
1,0.81,0,[2],2,90,0,10,Monopolist
1,0.67,1,"[17, 2]",2,85,1,10,Diversifier
1,0.78,2,[1],3,55,2,10,Monopolist
1,0.76,3,"[4, 9]",3,129,3,10,Diversifier
1,0.6,4,[10],1,103,4,10,Diversifier
1,0.65,5,"[2, 6]",3,130,5,10,Monopolist
1,0.68,6,[6],0,10,6,10,Monopolist
1,0.73,7,"[8, 14]",3,102,7,10,Diversifier
1,0.78,8,[7],1,102,8,10,Diversifier
1,0.76,9,"[1, 15]",4,244,9,10,Monopolist
1,0.77,10,"[3, 18]",5,186,10,10,Monopolist
1,0.82,11,[13],2,46,11,10,Diversifier
1,0.87,12,"[8, 11]",1,89,12,10,Diversifier
1,0.78,13,"[13, 10]",3,214,13,10,Monopolist
1,0.8,14,"[17, 13]",5,168,14,10,Diversifier
1,0.79,15,"[8, 10]",2,117,15,10,Diversifier
1,0.84,16,"[14, 10]",3,289,16,10,Monopolist
1,0.84,17,"[8, 20]",5,155,17,10,Monopolist
1,0.84,18,[6],2,160,18,10,Diversifier
1,0.89,19,[16],1,91,19,10,Monopolist
1,0.75,20,"[9, 1]",3,55,20,10,Diversifier
1,0.73,21,[3],2,146,21,10,Monopolist
1,0.68,22,"[4, 19]",4,92,22,10,Diversifier
1,0.78,23,"[12, 6]",1,94,23,10,Diversifier
1,0.6,24,[11],2,168,24,10,Diversifier
1,0.66,25,"[11, 19]",5,105,25,10,Diversifier
1,0.87,26,"[14, 2]",1,74,26,10,Diversifier
1,0.84,27,[14],1,74,27,10,Diversifier
1,0.86,28,"[4, 7]",3,219,28,10,Diversifier
1,0.77,29,[11],1,89,29,10,Monopolist
1,0.82,30,[10],1,103,30,10,Diversifier
1,0.61,31,"[9, 3]",3,172,31,10,Diversifier
1,0.66,32,[14],0,10,32,10,Diversifier
1,0.83,33,[4],3,85,33,10,Diversifier
1,0.73,34,"[1, 16]",3,121,34,10,Monopolist
1,0.86,35,[7],1,102,35,10,Monopolist
1,0.78,36,[8],1,24,36,10,Monopolist
1,0.87,37,[6],1,85,37,10,Diversifier
1,0.71,38,"[9, 11]",2,168,38,10,Monopolist
1,0.62,39,"[5, 1]",4,265,39,10,Monopolist
1,0.87,40,"[13, 20]",4,145,40,10,Diversifier
1,0.9,41,[16],1,91,41,10,Diversifier
1,0.77,42,[14],0,10,42,10,Monopolist
1,0.85,43,"[5, 17]",5,230,43,10,Monopolist
1,0.68,44,[4],2,60,44,10,Monopolist
1,0.84,45,"[13, 6]",4,196,45,10,Monopolist
1,0.72,46,"[12, 4]",3,262,46,10,Monopolist
1,0.77,47,[10],2,196,47,10,Monopolist
1,0.69,48,"[9, 7]",3,196,48,10,Monopolist
1,0.67,49,"[12, 11]",0,10,49,10,Monopolist
1,0.6,50,[4],2,60,50,10,Monopolist
1,0.69,51,[2],1,50,51,10,Monopolist
1,0.81,52,"[7, 12]",3,278,52,10,Monopolist
1,0.79,53,[6],0,10,53,10,Monopolist
1,0.83,54,[16],2,172,54,10,Diversifier
1,0.67,55,[14],0,10,55,10,Diversifier
1,0.78,56,[9],1,57,56,10,Monopolist
