priceWeight,volumeThreshold,name,offeredServices,productionVolume,money,ownership,time,type
1,0.8,0,"[17, 19]",1,45,0,10,Monopolist
1,0.73,1,[3],0,10,1,10,Monopolist
1,0.61,2,"[20, 12]",0,10,2,10,Diversifier
1,0.87,3,[1],1,25,3,10,Monopolist
1,0.68,4,[16],0,10,4,10,Monopolist
1,0.7,5,"[6, 5]",1,90,5,10,Monopolist
1,0.82,6,"[13, 19]",1,28,6,10,Diversifier
1,0.76,7,"[19, 2]",0,10,7,10,Monopolist
1,0.67,8,[10],0,10,8,10,Diversifier
1,0.67,9,[17],0,10,9,10,Diversifier
1,0.9,10,"[15, 14]",0,10,10,10,Diversifier
1,0.66,11,"[11, 7]",0,10,11,10,Monopolist
1,0.78,12,"[13, 3]",0,10,12,10,Diversifier
1,0.68,13,"[11, 14]",0,10,13,10,Diversifier
1,0.69,14,[8],0,10,14,10,Monopolist
1,0.87,15,[10],0,10,15,10,Monopolist
1,0.67,16,"[13, 6]",1,85,16,10,Diversifier
1,0.61,17,[8],1,24,17,10,Monopolist
1,0.8,18,[18],0,10,18,10,Diversifier
1,0.86,19,[18],0,10,19,10,Monopolist
1,0.63,20,[15],0,10,20,10,Monopolist
1,0.79,21,[3],0,10,21,10,Diversifier
1,0.7,22,"[16, 17]",0,10,22,10,Diversifier
1,0.68,23,[10],0,10,23,10,Monopolist
1,0.9,24,[12],0,10,24,10,Diversifier
1,0.79,25,"[16, 7]",1,91,25,10,Diversifier
1,0.68,26,[10],0,10,26,10,Diversifier
1,0.61,27,"[20, 12]",1,94,27,10,Diversifier
1,0.72,28,"[3, 18]",1,37,28,10,Diversifier
1,0.82,29,"[18, 16]",0,10,29,10,Diversifier
1,0.84,30,"[3, 11]",1,89,30,10,Diversifier
1,0.84,31,[7],0,10,31,10,Diversifier
1,0.78,32,[6],0,10,32,10,Diversifier
1,0.62,33,[13],2,46,33,10,Diversifier
1,0.89,34,"[13, 7]",1,102,34,10,Diversifier
1,0.61,35,[10],0,10,35,10,Monopolist
1,0.81,36,[6],1,85,36,10,Monopolist
1,0.69,37,[12],0,10,37,10,Diversifier
1,0.85,38,[8],1,24,38,10,Diversifier
1,0.88,39,[17],1,45,39,10,Monopolist
1,0.79,40,[7],0,10,40,10,Monopolist
1,0.87,41,"[4, 2]",1,35,41,10,Diversifier
1,0.74,42,"[7, 14]",0,10,42,10,Diversifier
1,0.82,43,"[18, 10]",1,37,43,10,Monopolist
1,0.85,44,[1],1,25,44,10,Diversifier
1,0.68,45,[17],1,45,45,10,Monopolist
1,0.81,46,[16],0,10,46,10,Monopolist
1,0.86,47,[20],0,10,47,10,Diversifier
1,0.85,48,[15],0,10,48,10,Diversifier
1,0.83,49,"[13, 4]",1,35,49,10,Diversifier
1,0.72,50,"[6, 12]",0,10,50,10,Monopolist
1,0.75,51,"[11, 8]",2,38,51,10,Monopolist
1,0.76,52,"[7, 17]",0,10,52,10,Diversifier
1,0.72,53,"[5, 10]",0,10,53,10,Monopolist
1,0.63,54,"[4, 7]",1,102,54,10,Monopolist
1,0.8,55,"[2, 20]",2,89,55,10,Monopolist
1,0.63,56,[15],0,10,56,10,Diversifier
1,0.85,57,"[6, 18]",1,85,57,10,Diversifier
1,0.76,58,"[17, 20]",0,10,58,10,Diversifier
1,0.79,59,[2],1,50,59,10,Diversifier
1,0.8,0,"[17, 19]",2,64,0,20,Monopolist
1,0.73,1,[3],1,78,1,20,Monopolist
1,0.61,2,"[20, 12]",0,10,2,20,Diversifier
1,0.87,3,[1],1,25,3,20,Monopolist
1,0.68,4,[16],0,10,4,20,Monopolist
1,0.7,5,"[6, 5]",3,250,5,20,Monopolist
1,0.82,6,"[13, 19]",2,46,6,20,Diversifier
1,0.76,7,"[19, 2]",0,10,7,20,Monopolist
1,0.67,8,[10],0,10,8,20,Diversifier
1,0.67,9,[17],0,10,9,20,Diversifier
1,0.9,10,"[15, 14]",2,147,10,20,Diversifier
1,0.66,11,"[11, 7]",0,10,11,20,Monopolist
1,0.78,12,"[13, 3]",0,10,12,20,Diversifier
1,0.68,13,"[11, 14]",1,74,13,20,Diversifier
1,0.69,14,[8],0,10,14,20,Monopolist
1,0.87,15,[10],0,10,15,20,Monopolist
1,0.67,16,"[13, 6]",2,103,16,20,Diversifier
1,0.61,17,[8],1,24,17,20,Monopolist
1,0.8,18,[18],0,10,18,20,Diversifier
1,0.86,19,[18],0,10,19,20,Monopolist
1,0.63,20,[15],0,10,20,20,Monopolist
1,0.79,21,[3],0,10,21,20,Diversifier
1,0.7,22,"[16, 17]",0,10,22,20,Diversifier
1,0.68,23,[10],1,103,23,20,Monopolist
1,0.9,24,[12],1,94,24,20,Diversifier
1,0.79,25,"[16, 7]",1,91,25,20,Diversifier
1,0.68,26,[10],0,10,26,20,Diversifier
1,0.61,27,"[20, 12]",1,94,27,20,Diversifier
1,0.72,28,"[3, 18]",1,37,28,20,Diversifier
1,0.82,29,"[18, 16]",0,10,29,20,Diversifier
1,0.84,30,"[3, 11]",1,89,30,20,Diversifier
1,0.84,31,[7],0,10,31,20,Diversifier
1,0.78,32,[6],1,85,32,20,Diversifier
1,0.62,33,[13],2,46,33,20,Diversifier
1,0.89,34,"[13, 7]",1,102,34,20,Diversifier
1,0.61,35,[10],1,103,35,20,Monopolist
1,0.81,36,[6],2,160,36,20,Monopolist
1,0.69,37,[12],0,10,37,20,Diversifier
1,0.85,38,[8],2,38,38,20,Diversifier
1,0.88,39,[17],1,45,39,20,Monopolist
1,0.79,40,[7],0,10,40,20,Monopolist
1,0.87,41,"[4, 2]",2,60,41,20,Diversifier
1,0.74,42,"[7, 14]",1,74,42,20,Diversifier
1,0.82,43,"[18, 10]",2,64,43,20,Monopolist
1,0.85,44,[1],2,40,44,20,Diversifier
1,0.68,45,[17],1,45,45,20,Monopolist
1,0.81,46,[16],0,10,46,20,Monopolist
1,0.86,47,[20],0,10,47,20,Diversifier
1,0.85,48,[15],0,10,48,20,Diversifier
1,0.83,49,"[13, 4]",3,71,49,20,Diversifier
1,0.72,50,"[6, 12]",0,10,50,20,Monopolist
1,0.75,51,"[11, 8]",3,52,51,20,Monopolist
1,0.76,52,"[7, 17]",0,10,52,20,Diversifier
1,0.72,53,"[5, 10]",1,90,53,20,Monopolist
1,0.63,54,"[4, 7]",3,152,54,20,Monopolist
1,0.8,55,"[2, 20]",3,128,55,20,Monopolist
1,0.63,56,[15],1,83,56,20,Diversifier
1,0.85,57,"[6, 18]",2,160,57,20,Diversifier
1,0.76,58,"[17, 20]",0,10,58,20,Diversifier
1,0.79,59,[2],1,50,59,20,Diversifier
1,0.8,0,"[17, 19]",3,83,0,30,Monopolist
1,0.73,1,[3],1,78,1,30,Monopolist
1,0.61,2,"[20, 12]",0,10,2,30,Diversifier
1,0.87,3,[1],2,40,3,30,Monopolist
1,0.68,4,[16],0,10,4,30,Monopolist
1,0.7,5,"[6, 5]",4,330,5,30,Monopolist
1,0.82,6,"[13, 19]",3,64,6,30,Diversifier
1,0.76,7,"[19, 2]",1,50,7,30,Monopolist
1,0.67,8,[10],0,10,8,30,Diversifier
1,0.67,9,[17],0,10,9,30,Diversifier
1,0.9,10,"[15, 14]",2,147,10,30,Diversifier
1,0.66,11,"[11, 7]",1,102,11,30,Monopolist
1,0.78,12,"[13, 3]",1,28,12,30,Diversifier
1,0.68,13,"[11, 14]",2,138,13,30,Diversifier
1,0.69,14,[8],0,10,14,30,Monopolist
1,0.87,15,[10],1,103,15,30,Monopolist
1,0.67,16,"[13, 6]",3,121,16,30,Diversifier
1,0.61,17,[8],1,24,17,30,Monopolist
1,0.8,18,[18],0,10,18,30,Diversifier
1,0.86,19,[18],0,10,19,30,Monopolist
1,0.63,20,[15],1,83,20,30,Monopolist
1,0.79,21,[3],0,10,21,30,Diversifier
1,0.7,22,"[16, 17]",0,10,22,30,Diversifier
1,0.68,23,[10],1,103,23,30,Monopolist
1,0.9,24,[12],1,94,24,30,Diversifier
1,0.79,25,"[16, 7]",1,91,25,30,Diversifier
1,0.68,26,[10],0,10,26,30,Diversifier
1,0.61,27,"[20, 12]",1,94,27,30,Diversifier
1,0.72,28,"[3, 18]",1,37,28,30,Diversifier
1,0.82,29,"[18, 16]",0,10,29,30,Diversifier
1,0.84,30,"[3, 11]",2,168,30,30,Diversifier
1,0.84,31,[7],1,102,31,30,Diversifier
1,0.78,32,[6],1,85,32,30,Diversifier
1,0.62,33,[13],2,46,33,30,Diversifier
1,0.89,34,"[13, 7]",2,194,34,30,Diversifier
1,0.61,35,[10],1,103,35,30,Monopolist
1,0.81,36,[6],2,160,36,30,Monopolist
1,0.69,37,[12],1,94,37,30,Diversifier
1,0.85,38,[8],2,38,38,30,Diversifier
1,0.88,39,[17],1,45,39,30,Monopolist
1,0.79,40,[7],0,10,40,30,Monopolist
1,0.87,41,"[4, 2]",2,60,41,30,Diversifier
1,0.74,42,"[7, 14]",1,74,42,30,Diversifier
1,0.82,43,"[18, 10]",2,64,43,30,Monopolist
1,0.85,44,[1],2,40,44,30,Diversifier
1,0.68,45,[17],1,45,45,30,Monopolist
1,0.81,46,[16],0,10,46,30,Monopolist
1,0.86,47,[20],0,10,47,30,Diversifier
1,0.85,48,[15],0,10,48,30,Diversifier
1,0.83,49,"[13, 4]",3,71,49,30,Diversifier
1,0.72,50,"[6, 12]",0,10,50,30,Monopolist
1,0.75,51,"[11, 8]",3,52,51,30,Monopolist
1,0.76,52,"[7, 17]",0,10,52,30,Diversifier
1,0.72,53,"[5, 10]",2,183,53,30,Monopolist
1,0.63,54,"[4, 7]",3,152,54,30,Monopolist
1,0.8,55,"[2, 20]",3,128,55,30,Monopolist
1,0.63,56,[15],1,83,56,30,Diversifier
1,0.85,57,"[6, 18]",2,160,57,30,Diversifier
1,0.76,58,"[17, 20]",0,10,58,30,Diversifier
1,0.79,59,[2],1,50,59,30,Diversifier
1,0.8,0,"[17, 19]",4,118,0,40,Monopolist
1,0.73,1,[3],2,146,1,40,Monopolist
1,0.61,2,"[20, 12]",0,10,2,40,Diversifier
1,0.87,3,[1],2,40,3,40,Monopolist
1,0.68,4,[16],0,10,4,40,Monopolist
1,0.7,5,"[6, 5]",5,410,5,40,Monopolist
1,0.82,6,"[13, 19]",3,64,6,40,Diversifier
1,0.76,7,"[19, 2]",1,50,7,40,Monopolist
1,0.67,8,[10],0,10,8,40,Diversifier
1,0.67,9,[17],0,10,9,40,Diversifier
1,0.9,10,"[15, 14]",2,147,10,40,Diversifier
1,0.66,11,"[11, 7]",1,102,11,40,Monopolist
1,0.78,12,"[13, 3]",1,28,12,40,Diversifier
1,0.68,13,"[11, 14]",3,202,13,40,Diversifier
1,0.69,14,[8],0,10,14,40,Monopolist
1,0.87,15,[10],1,103,15,40,Monopolist
1,0.67,16,"[13, 6]",3,121,16,40,Diversifier
1,0.61,17,[8],2,38,17,40,Monopolist
1,0.8,18,[18],0,10,18,40,Diversifier
1,0.86,19,[18],1,37,19,40,Monopolist
1,0.63,20,[15],1,83,20,40,Monopolist
1,0.79,21,[3],0,10,21,40,Diversifier
1,0.7,22,"[16, 17]",0,10,22,40,Diversifier
1,0.68,23,[10],1,103,23,40,Monopolist
1,0.9,24,[12],1,94,24,40,Diversifier
1,0.79,25,"[16, 7]",2,183,25,40,Diversifier
1,0.68,26,[10],1,103,26,40,Diversifier
1,0.61,27,"[20, 12]",3,172,27,40,Diversifier
1,0.72,28,"[3, 18]",1,37,28,40,Diversifier
1,0.82,29,"[18, 16]",1,91,29,40,Diversifier
1,0.84,30,"[3, 11]",2,168,30,40,Diversifier
1,0.84,31,[7],1,102,31,40,Diversifier
1,0.78,32,[6],1,85,32,40,Diversifier
1,0.62,33,[13],3,64,33,40,Diversifier
1,0.89,34,"[13, 7]",3,286,34,40,Diversifier
1,0.61,35,[10],1,103,35,40,Monopolist
1,0.81,36,[6],2,160,36,40,Monopolist
1,0.69,37,[12],1,94,37,40,Diversifier
1,0.85,38,[8],2,38,38,40,Diversifier
1,0.88,39,[17],1,45,39,40,Monopolist
1,0.79,40,[7],0,10,40,40,Monopolist
1,0.87,41,"[4, 2]",2,60,41,40,Diversifier
1,0.74,42,"[7, 14]",1,74,42,40,Diversifier
1,0.82,43,"[18, 10]",2,64,43,40,Monopolist
1,0.85,44,[1],2,40,44,40,Diversifier
1,0.68,45,[17],2,80,45,40,Monopolist
1,0.81,46,[16],0,10,46,40,Monopolist
1,0.86,47,[20],0,10,47,40,Diversifier
1,0.85,48,[15],0,10,48,40,Diversifier
1,0.83,49,"[13, 4]",4,89,49,40,Diversifier
1,0.72,50,"[6, 12]",0,10,50,40,Monopolist
1,0.75,51,"[11, 8]",4,131,51,40,Monopolist
1,0.76,52,"[7, 17]",1,45,52,40,Diversifier
1,0.72,53,"[5, 10]",3,263,53,40,Monopolist
1,0.63,54,"[4, 7]",4,244,54,40,Monopolist
1,0.8,55,"[2, 20]",3,128,55,40,Monopolist
1,0.63,56,[15],1,83,56,40,Diversifier
1,0.85,57,"[6, 18]",3,187,57,40,Diversifier
1,0.76,58,"[17, 20]",0,10,58,40,Diversifier
1,0.79,59,[2],1,50,59,40,Diversifier
1,0.8,0,"[17, 19]",5,137,0,50,Monopolist
1,0.73,1,[3],2,146,1,50,Monopolist
1,0.61,2,"[20, 12]",1,94,2,50,Diversifier
1,0.87,3,[1],2,40,3,50,Monopolist
1,0.68,4,[16],0,10,4,50,Monopolist
1,0.7,5,"[6, 5]",5,410,5,50,Monopolist
1,0.82,6,"[13, 19]",3,64,6,50,Diversifier
1,0.76,7,"[19, 2]",1,50,7,50,Monopolist
1,0.67,8,[10],0,10,8,50,Diversifier
1,0.67,9,[17],1,45,9,50,Diversifier
1,0.9,10,"[15, 14]",2,147,10,50,Diversifier
1,0.66,11,"[11, 7]",2,181,11,50,Monopolist
1,0.78,12,"[13, 3]",1,28,12,50,Diversifier
1,0.68,13,"[11, 14]",3,202,13,50,Diversifier
1,0.69,14,[8],0,10,14,50,Monopolist
1,0.87,15,[10],1,103,15,50,Monopolist
1,0.67,16,"[13, 6]",3,121,16,50,Diversifier
1,0.61,17,[8],3,52,17,50,Monopolist
1,0.8,18,[18],0,10,18,50,Diversifier
1,0.86,19,[18],1,37,19,50,Monopolist
1,0.63,20,[15],1,83,20,50,Monopolist
1,0.79,21,[3],0,10,21,50,Diversifier
1,0.7,22,"[16, 17]",1,91,22,50,Diversifier
1,0.68,23,[10],1,103,23,50,Monopolist
1,0.9,24,[12],1,94,24,50,Diversifier
1,0.79,25,"[16, 7]",2,183,25,50,Diversifier
1,0.68,26,[10],1,103,26,50,Diversifier
1,0.61,27,"[20, 12]",3,172,27,50,Diversifier
1,0.72,28,"[3, 18]",2,105,28,50,Diversifier
1,0.82,29,"[18, 16]",1,91,29,50,Diversifier
